French Polynesia	የፈረንሳይ ፖሊኔዢያ	GPE
French Southern Territories	የፈረንሳይ ደቡባዊ ግዛቶች	GPE
Gabonese Republic	ጋቦን	GPE
Gash-Barka Region	ዞባ ጋሽ ባርካ	GPE
Georgia	ጆርጂያ	GPE
Germany	ጀርመን	GPE
Ghana	ጋና	GPE
Ghinda	ጊንዳዕ	GPE
Gibraltar	ጊብራልታር	GPE
Grand Duchy of Luxembourg	ሉክሰምበርግ	GPE
Great Socialist People’s Libyan Arab Jamahiriya	ሊቢያ	GPE
Greenland	ግሪንላንድ	GPE
Grenada	ግሬናዳ	GPE
Guadeloupe	ጉዋደሉፕ	GPE
Guam	ጉዋም	GPE
Guyana	ጉያና	GPE
Hashemite Kingdom of Jordan	ጆርዳን	GPE
Heard Island and McDonald Islands	የኧርድ እና የማክዶናልድ ደሴቶች	GPE
Hellenic Republic	ግሪክ	GPE
Hong Kong Special Administrative Region	ሆንግ ኮንግ	GPE
Independent State of Samoa	ሳሞአ	GPE
India	ህንድ	GPE
Iran, Islamic Republic Of	ኢራን	GPE
Islamic Republic of Afghanistan	አፍጋኒስታን	GPE
Islamic Republic of Mauritania	ሞሪቴኒያ	GPE
Islamic Republic of Pakistan	ፓኪስታን	GPE
Italian Republic	ጣሊያን	GPE
Jamaica	ጃማይካ	GPE
Japan	ጃፓን	GPE
Kenya	ኬንያ	GPE
Keren, Eritrea	ከረን	GPE
Kingdom of Bahrain	ባህሬን	GPE
Kingdom of Belgium	ቤልጄም	GPE
Kingdom of Cambodia	ካምቦዲያ	GPE
Kingdom of Denmark	ዴንማርክ	GPE
Kingdom of Morocco	ሞሮኮ	GPE
Kingdom of Norway	ኖርዌ	GPE
Kingdom of Saudi Arabia	ሳውድአረቢያ	GPE
Kingdom of Spain	ስፔን	GPE
Kingdom of Sweden	ስዊድን	GPE
Kingdom of Thailand	ታይላንድ	GPE
Kingdom of the Netherlands	ኔዘርላንድ	GPE
Kiribati	ኪሪባቲ	GPE
Korea, Democratic People’s Republic of	ሰሜን ኮሪያ	GPE
Korea, Republic of	ደቡብ ኮሪያ	GPE
Lao PDR	ላኦስ	GPE
Lesotho	ሌሶቶ	GPE
Liberia	ላይቤሪያ	GPE
Libya	ሊቢያ	GPE
Macau Special Administrative Region	ማካዎ	GPE
Macedonia	ማከዶኒያ	GPE
Madagascar	ማዳጋስካር	GPE
Maekel Region	ዞባ ማእከል	GPE
Malawi	ማላዊ	GPE
Malaysia	ማሌዢያ	GPE
Mali	ማሊ	GPE
Malta	ማልታ	GPE
Mariupol	ማሪኡፖል	GPE
Marshall Islands	ማርሻል አይላንድ	GPE
Martinique	ማርቲኒክ	GPE
Massawa	ምጽዋዕ	GPE
Massawa	ምጽዋ	GPE
Mauritania	ሞሪታኒያ	GPE
Mayotte	ሜይኦቴ	GPE
Mek'ele	መቐለ	GPE
Mendefera	መንደፈራ	GPE
Mexico	ሜክሲኮ	GPE
Micronesia, Federated States Of	ሚክሮኔዢያ	GPE
Moldova, Republic Of	ሞልዶቫ	GPE
Monaco	ሞናኮ	GPE
Mongolia	ሞንጎሊያ	GPE
Montserrat	ሞንትሴራት	GPE
Morocco	ሞሮኮ	GPE
Mozambique	ሞዛምቢክ	GPE
Nakfa, Eritrea	ናቕፋ	GPE
Namibia	ናሚቢያ	GPE
Nauru	ናኡሩ	GPE
New Caledonia	ኒው ካሌዶኒያ	GPE
New Zealand	ኒው ዚላንድ	GPE
Niger	ናይጀር	GPE
Nigeria	ናይጄሪያ	GPE
Niue	ኒኡይ	GPE
Norfolk Island	ኖርፎልክ ደሴት	GPE
Northern Mariana Islands	የሰሜናዊ ማሪያና ደሴቶች	GPE
Northern Red Sea Region	ዞባ ሰሜናዊ ቀይሕ ባሕሪ	GPE
Oriental Republic of Uruguay	ኡራጓይ	GPE
Palau	ፓላው	GPE
Palestinian Territory	የፍልስጤም ግዛት	GPE
Papua New Guinea	ፓፑዋ ኒው ጊኒ	GPE
People’s Democratic Republic of Algeria	አልጄሪያ	GPE
People’s Republic of China	ቻይና	GPE
Pitcairn Islands	ፒትካኢርን	GPE
Portuguese Republic	ፖርቱጋል	GPE
Principality of Andorra	አንዶራ	GPE
Principality of Liechtenstein	ሊችተንስታይን	GPE
Puerto Rico	ፖርታ ሪኮ	GPE
Red Square	ቀይሕ ኣደባባይ	GPE
Republic of Albania	አልባኒያ	GPE
Republic of Angola	አንጐላ	GPE
Republic of Armenia	አርሜኒያ	GPE
Republic of Austria	ኦስትሪያ	GPE
Republic of Azerbaijan	አዘርባጃን	GPE
Republic of Belarus	ቤላሩስ	GPE
Republic of Benin	ቤኒን	GPE
Republic of Bulgaria	ቡልጌሪያ	GPE
Republic of Burundi	ብሩንዲ	GPE
Republic of Cameroon	ካሜሩን	GPE
Republic of Chad	ቻድ	GPE
Republic of Chile	ቺሊ	GPE
Republic of Colombia	ኮሎምቢያ	GPE
Republic of Costa Rica	ኮስታ ሪካ	GPE
Republic of Croatia	ክሮኤሽያ	GPE
Republic of Cuba	ኩባ	GPE
Republic of Djibouti	ጂቡቲ	GPE
Republic of Ecuador	ኢኳዶር	GPE
Republic of El Salvador	ኤል ሳልቫዶር	GPE
Republic of Equatorial Guinea	ኢኳቶሪያል ጊኒ	GPE
Republic of Estonia	ኤስቶኒያ	GPE
Republic of Finland	ፊንላንድ	GPE
Republic of Guatemala	ጉዋቲማላ	GPE
Republic of Guinea	ጊኒ	GPE
Republic of Guinea-Bissau	ቢሳዎ	GPE
Republic of Haiti	ሀይቲ	GPE
Republic of Honduras	ሆንዱራስ	GPE
Republic of Hungary	ሀንጋሪ	GPE
Republic of Iceland	አይስላንድ	GPE
Republic of Indonesia	ኢንዶኔዢያ	GPE
Republic of Iraq	ኢራቅ	GPE
Republic of Ireland	አየርላንድ	GPE
Republic of Latvia	ላትቪያ	GPE
Republic of Lebanon	ሊባኖስ	GPE
Republic of Lithuania	ሊቱዌኒያ	GPE
Republic of Madagascar	ማዳጋስካር	GPE
Republic of Maldives	ማልዲቭስ	GPE
Republic of Mauritius	ማሩሸስ	GPE
Republic of Mozambique	ሞዛምቢክ	GPE
Republic of Nicaragua	ኒካራጓ	GPE
Republic of Niger	ኒጀር	GPE
Republic of Panama	ፓናማ	GPE
Republic of Paraguay	ፓራጓይ	GPE
Republic of Peru	ፔሩ	GPE
Republic of Poland	ፖላንድ	GPE
Republic of Rwanda	ሩዋንዳ	GPE
Republic of Senegal	ሴኔጋል	GPE
Republic of Slovenia	ስሎቬኒያ	GPE
Republic of Suriname	ሱሪናም	GPE
Republic of Tajikistan	ታጃኪስታን	GPE
Republic of The Gambia	ጋምቢያ	GPE
Republic of the Philippines	ፊሊፒንስ	GPE
Republic of Turkey	ቱርክ	GPE
Republic of Uzbekistan	ዩዝበኪስታን	GPE
Republic of Vanuatu	ቫኑአቱ	GPE
Republic of Yemen	የመን	GPE
Réunion	ሪዩኒየን	GPE
Roman Empire	የሮሜ መንግሥት	GPE
Romania	ሮሜኒያ	GPE
Rome	ሮማ	GPE
Russia	ራሻ	GPE
Russian Federation	ራሺያ	GPE
Rwanda	ሩዋንዳ	GPE
Saint Helena, Ascension and Tristan Da Cunha	ሴንት ሄለና	GPE
Saint Kitts and Nevis	ቅዱስ ኪትስ እና ኔቪስ	GPE
Saint Lucia	ሴንት ሉቺያ	GPE
Saint Pierre and Miquelon	ቅዱስ ፒዬር እና ሚኩኤሎን	GPE
Saint Vincent and the Grenadines	ቅዱስ ቪንሴንት እና ግሬናዲንስ	GPE
San Marino	ሳን ማሪኖ	GPE
Senafe	ሰንዓፈ	GPE
Senegal	ሴኔጋል	GPE
Seychelles	ሲሼልስ	GPE
Sierra Leone	ሴራሊዮን	GPE
Singapore	ሲንጋፖር	GPE
Slovak Republic	ስሎቫኪያ	GPE
Socialist Republic of Vietnam	ቬትናም	GPE
Solomon Islands	ሰሎሞን ደሴት	GPE
Somalia	ሶማሊያ	GPE
South Africa	ደቡብ አፍሪካ	GPE
Southern Red Sea Region	ዞባ ደቡባዊ ቀይሕ ባሕሪ	GPE
Southern Rhodesia	ዚምቧቤ	GPE
Spanish Haiti	ዶሚኒክ ሪፑብሊክ	GPE
Sri Lanka	ሲሪላንካ	GPE
State of Eritrea	ኤርትራ	GPE
State of Israel	እስራኤል	GPE
State of Kuwait	ክዌት	GPE
State of Qatar	ኳታር	GPE
Sudan	ሱዳን	GPE
Sultanate of Oman	ኦማን	GPE
Suriname	ሱሪናም	GPE
Svalbard and Jan Mayen	የስቫልባርድ እና ዣን ማየን ደሴቶች	GPE
Swaziland	ሱዋዚላንድ	GPE
Switzerland	ስዊዘርላንድ	GPE
Syria	ሱርያ	GPE
Syrian Arab Republic	ሲሪያ	GPE
Taiwan	ታይዋን	GPE
Tanzania	ታንዛኒያ	GPE
The Bahamas	ባሃማስ	GPE
The Somali Republic	ሱማሌ	GPE
Timor-Leste	ምስራቅ ቲሞር	GPE
Togo	ቶጎ	GPE
Togolese Republic	ቶጐ	GPE
Tokelau	ቶክላው	GPE
Tonga	ቶንጋ	GPE
Trinidad and Tobago	ትሪኒዳድ እና ቶባጎ	GPE
Tunisia	ቱኒዢያ	GPE
Tunisian Republic	ቱኒዚያ	GPE
Turkmenistan	ቱርክሜኒስታን	GPE
Turks and Caicos Islands	የቱርኮችና የካኢኮስ ደሴቶች	GPE
Tuvalu	ቱቫሉ	GPE
Uganda	ዩጋንዳ	GPE
Ukraine	ዩክረይን	GPE
Ukraine	ዩክሬን	GPE
United Arab Emirates	የተባበሩት አረብ ኤምሬትስ	GPE
United Kingdom of Great Britain and Northern Ireland	እንግሊዝ	GPE
United States of America	አሜሪካ	GPE
U.S. Minor Outlying Islands	የአሜሪካ ራቅ ያሉ አናሳ ደሴቶች	GPE
Vatican City State (Holy See)	ቫቲካን	GPE
Venezuela	ቨኒዙአላ	GPE
Venezuela, Bolivarian Republic Of	ቬንዙዌላ	GPE
Virgin Islands (British)	የእንግሊዝ ድንግል ደሴቶች	GPE
Virgin Islands (US)	የአሜሪካ ቨርጂን ደሴቶች	GPE
Wallis and Futuna	ዋሊስ እና ፉቱና ደሴቶች	GPE
Western Sahara	ምዕራባዊ ሳህራ	GPE
West Germany	ጀርመን	GPE
Zambia	ዛምቢያ	GPE
Zimbabwe	ዚምባብዌ	GPE
Angola	ኣንጎላ	LOC
Asmara	ኣስመራ	LOC
Benin	ቤኒን	LOC
Botswana	ቦትስዋና	LOC
Chad	ቻድ	LOC
Chile	ቺሌ	LOC
Cicero	ኪኬሮ	LOC
Djibouti	ጂቡቲ	LOC
Eritrea	ኤርትራ	LOC
Ethiopia	ኢትዮጵያ	LOC
Europe	ኣውሮጳ	LOC
Germany	ጀርመን	LOC
Japan	ጃፓን	LOC
Kenya	ኬንያ	LOC
Libya	ሊቢያ	LOC
Madagascar	ማዳጋስካር	LOC
Malawi	ማላዊ	LOC
Mali	ማሊ	LOC
Mariupol	ማሪኡፖል	LOC
Massawa	ምጽዋዕ	LOC
Mauritania	ሞሪታኒያ	LOC
Morocco	ሞሮኮ	LOC
Mozambique	ሞዛምቢክ	LOC
Namibia	ናሚቢያ	LOC
Napoleon	ናፖሌዎን ቦናፓርት	LOC
Nigeria	ናይጂሪያ	LOC
Rome	ሮማ	LOC
Russia	ራሻ	LOC
Rwanda	ሩዋንዳ	LOC
Senegal	ሴኔጋል	LOC
Somalia	ሶማሊያ	LOC
South Africa	ደቡብ ኣፍሪቃ	LOC
Sudan	ሱዳን	LOC
Suriname	ሱሪናም	LOC
Swaziland	ስዋዚላንድ	LOC
Syria	ሱርያ	LOC
Tanzania	ታንዛኒያ	LOC
Togo	ቶጎ	LOC
Tunisia	ቱኒዢያ	LOC
Ukraine	ዩክረይን	LOC
Zambia	ዛምቢያ	LOC
Zimbabwe	ዚምባብዌ	LOC
Australian Red Cross	ናይ ኣውስትራሊያ ቀይሕ መስቀል	ORG
FC Barcelona	ባርሴሎና እግር ኳስ ክለብ	ORG
True Jesus Church	ሓቀኛ ቤተክርስትያን የሱስ	ORG
Augustus	አውግስጦስ	PER
Caligula	ካሊጎላ	PER
Charles Dickens	ቻርልስ ዲከንስ	PER
Friedrich Nietzsche	ኒሺ	PER
Friedrich Schiller	ፍሪድርክ ሺለር	PER
Hans Martin Sutermeister	ሃንስ ማርቲን ሱተርማይስተር	PER
Julius Caesar	ዩሊዩስ ቄሳር	PER
Lila Downs	ሊለ ዶወንሡ	PER
Lionel Messi	ሊዮኔል ሜሲ	PER
Napoleon	ናፖሌዎን ቦናፓርት	PER
Ovid	ኦቪድ	PER
Queen (band)	ክዊን	PER
Tigranes the Great	ታላቁ ቲግራኔስ	PER
Trajan	ትራያኑስ	PER
Virgil	ፑብሊዩስ ዌርጊሊዩስ ማሮ	PER
Wolfgang Amadeus Mozart	ቮልፍጋንግ አማዴኡስ ሞፃርት	PER
Assab	‘Aseb	GPE
Asmara	Asmera	GPE
State of Eritrea	Hagere Ērtra	GPE
State of Eritrea	Hagere Iertra	GPE
State of Eritrea	Iertra	GPE
India	India	GPE
Japan	Japan	GPE
Massawa	Mits’iwa	GPE
