hemp	hmp	ሀምፕ
slush	hnn	ህና'ነ
barn	hnt͡sʼ	ህንጻ
structure	hnt͡sʼ	ህንጻ
architecture	hnt͡sʼ	ህንጻ
building	hnt͡sʼ	ህንጻ
construction	hnt͡sʼ	ህንጻ
sense	hws	ህዋስ
people	hzb	ህዝቢ
folk	hzb	ህዝቢ
public	hzb	ህዝቢ
population	hzb	ህዝቢ
country	hzb	ህዝቢ
forum	hzb	ህዝቢ
criticism	hjs	ህየሳ
gift	hjb	ህያብ
donation	hjb	ህያብ
presentation	hjb	ህያብ
settlement	hjb	ህያብ
offering	hjb	ህያብ
present	hjb	ህያብ
purse	hjb	ህያብ
premium	hjb	ህያብ
offer	hjb	ህያብ
calm	hdʔ	ህዱእ
halcyon	hdʔ	ህዱእ
cool	hdʔ	ህዱእ
escape	hdm	ህድማ
velvet	hdʔ	ህድእ
assault	hd͡ʒm	ህጁም
charge	hd͡ʒm	ህጁም
perfume	htʼr	ህጥር
short	ht͡sʼt͡sʼ	ህጹጽ
baby	ht͡sʼn	ህጻን
infant	ht͡sʼn	ህጻን
babe	ht͡sʼn	ህጻን
evaporation	hft	ህፈት
motel	htl	ሆቴል
inn	htl	ሆቴል
hotel	htl	ሆቴል
filter	lħm	ለሓመ
lick	lħs	ለሓሰ
leak	lħxʷ	ለሓዅ
urge	lmn	ለመነ
appeal	lmn	ለመነ
smear	lmt͡sʼ	ለመጸ
rind	lmn	ለሚን
lime	lmn	ለሚን
lemon	lmn	ለሚን
reptile	lmm	ለማሚ
lank	lmʃ	ለማሽ
bum	lmn	ለማኒ
greenery	lmʕ	ለምዒ
annex	lqb	ለቀ'በ
pod	lqt	ለቆተ
node	lqʰm	ለቐመ
release	lqʰqʰ	ለቐቐ
acquit	lqʰqʰ	ለቐቐ
loan	lqʰħ	ለቓሕ
pod	lqʰt	ለቖታ
sac	lqʰʷt	ለቘታ
apparel	lbs	ለበሰ
array	lbs	ለበሰ
wear	lbs	ለበሰ
recommendation	lbw	ለበዋ
will	lbw	ለበዋ
testament	lbw	ለበዋ
cognizant	lbw	ለበዋ
eruption	lbd	ለበዳ
cake	lbtʼ	ለበጠ
sage	lbm	ለባም
wise	lbm	ለባም
politic	lbm	ለባም
epidemic	lbʕ	ለብዒ
dispatch	lʔx	ለኣኸ
export	lʔx	ለኣኸ
spread	lxj	ለኸየ
flex	lwj	ለወየ
fold	lwj	ለወየ
curve	lwj	ለወየ
bend	lwj	ለወየ
shift	lwtʼ	ለወጠ
change	lwtʼ	ለወጠ
convert	lwtʼ	ለወጠ
turn	lwtʼ	ለወጠ
human	lwh	ለዋህ
kind	lwh	ለዋህ
change	lwtʼ	ለውጢ
variation	lwtʼ	ለውጢ
evolution	lwtʼ	ለውጢ
conversion	lwtʼ	ለውጢ
barter	lwtʼ	ለውጢ
mutation	lwtʼ	ለውጢ
swap	lwtʼ	ለውጢ
variety	lwtʼ	ለውጢ
transformation	lwtʼ	ለውጢ
advance	lʕl	ለዓለ
shank	lʕt	ለዓት
handle	lʕt	ለዓት
knob	lʕt	ለዓት
lyre	ljr	ለየር
night	ljt	ለይቲ
show	lɡs	ለገሰ
donor	lɡs	ለጋሲ
giver	lɡs	ለጋስ
liberal	lɡs	ለጋስ
sticker	lɡb	ለጋቢ
load	lɡʷm	ለጐመ
button	lɡʷm	ለጐመ
placard	ltʼf	ለጠፈ
cake	ltʼf	ለጠፈ
smear	ltʼf	ለጠፈ
poster	ltʼf	ለጣፊ
annex	lt͡sʼqʰ	ለጸቐ
slave	lfʕ	ለፍዐ
woody	lħw	ሉሓዊ
slush	lnɡ	ሉንጊ
lymph	lmf	ሊምፍ
litre	ltr	ሊተር
lingo	lnɡ	ሊንጎ
lacquer	lkr	ሊከር
liqueur	lkr	ሊከር
litany	ltʼn	ሊጦን
spleen	llʃ	ላልሽ
leak	lħkʷ	ላሕኲ
leakage	lħkʷ	ላሕኲ
kerosene	lmb	ላምባ
larva	lrv	ላርቫ
grub	lrv	ላርቫ
appendix	lqʰb	ላቔባ
adjunct	lqʰb	ላቔባ
appendage	lqʰb	ላቔባ
latin	ltn	ላቲን
larynx	lnq	ላንቃ
high	lʕl	ላዕሊ
top	lʕl	ላዕሊ
lagoon	lɡn	ላጉን
adhesive	lɡb	ላጋቢ
prank	lɡt͡sʼ	ላግጺ
trick	lɡt͡sʼ	ላግጺ
razor	lt͡sʼj	ላጸየ
shave	lt͡sʼj	ላጸየ
publicity	llj	ልልይ
tow	lħt͡sʼ	ልሕጺ
routine	lmd	ልሙድ
current	lmd	ልሙድ
flat	lmt͡sʼ	ልሙጽ
slick	lmt͡sʼ	ልሙጽ
routine	lmd	ልማድ
experience	lmd	ልምዲ
tradition	lmd	ልምዲ
practice	lmd	ልምዲ
groove	lmd	ልምዲ
usage	lmd	ልምዲ
custom	lmd	ልምዲ
norm	lmd	ልምዲ
tongue	lsn	ልሳን
organ	lsn	ልሳን
loan	lqʰħ	ልቓሕ
credit	lqʰħ	ልቓሕ
infection	lbd	ልበዳ
apparel	lbs	ልብሲ
suit	lbs	ልብሲ
wisdom	lbn	ልቦና
ability	lbn	ልቦና
prince	lʔl	ልኡል
ambassador	lʔx	ልኡኽ
agent	lʔx	ልኡኽ
messenger	lʔx	ልኡኽ
emissary	lʔx	ልኡኽ
mission	lʔx	ልኡኽ
dosage	lkʕ	ልክዕ
maniac	lxf	ልኹፍ
cream	lxj	ልኻይ
ointment	lxj	ልኻይ
variant	lwtʼ	ልውጥ
noble	lʕl	ልዑል
patrician	lʕl	ልዑል
peer	lʕl	ልዑል
count	lʕl	ልዑል
paramount	lʕl	ልዑል
extreme	lʕl	ልዑል
over	lʕl	ልዕሊ
aristocrat	lʕl	ልዕል
saliva	lzj	ልዛይ
negotiation	lzb	ልዝብ
christmas	ldt	ልደት
sill	ldt	ልዳት
threshold	ldt	ልዳት
graft	lɡb	ልገ'ባ
patch	lɡb	ልጋ'ብ
percussion	lɡʕ	ልግ'ዕ
charity	lɡs	ልግሲ
altruism	lɡs	ልግሲ
variance	lɡs	ልግሶ
bit	lɡʷm	ልጓም
ribbon	lɡʷm	ልጓም
brake	lɡʷm	ልጓም
patch	ltʼf	ልጣፍ
shave	lt͡sʼj	ልጻይ
mucous	lft͡ʃʼ	ልፋጭ
mucus	lft͡ʃʼ	ልፋጭ
declaration	lff	ል’ፈፋ
locket	lkt	ሎከት
padlock	lkt	ሎኬቶ
advocate	ħɡz	ሐገዝ
cough	ħʔt	ሑአታ
brick	ħtʼb	ሑጡብ
pith	ħll	ሒለል
earthenware	ħlb	ሒላብ
crumb	ħdt	ሒደት
inch	ħdt	ሒደት
low	ħdt	ሒደት
pittance	ħdt	ሒደት
dream	ħlm	ሓለመ
president	ħlqʰ	ሓለቓ
warden	ħlqʰ	ሓለቓ
chief	ħlqʰ	ሓለቓ
general	ħlqʰ	ሓለቓ
director	ħlqʰ	ሓለቓ
principal	ħlqʰ	ሓለቓ
superior	ħlqʰ	ሓለቓ
monitor	ħlqʰ	ሓለቓ
head	ħlqʰ	ሓለቓ
provost	ħlqʰ	ሓለቓ
commander	ħlqʰ	ሓለቓ
belt	ħlb	ሓለበ
milk	ħlb	ሓለበ
aim	ħln	ሓለነ
mean	ħln	ሓለነ
keep	ħlw	ሓለወ
preserve	ħlw	ሓለወ
ward	ħlw	ሓለዋ
guard	ħlw	ሓለዋ
watch	ħlw	ሓለዋ
vigil	ħlw	ሓለዋ
pass	ħlf	ሓለፈ
outreach	ħlf	ሓለፈ
dreamer	ħlm	ሓላሚ
aspirant	ħln	ሓላኒ
defender	ħlw	ሓላዊ
boss	ħlf	ሓላፊ
sponsor	ħlf	ሓላፊ
president	ħlf	ሓላፊ
warden	ħlf	ሓላፊ
chief	ħlf	ሓላፊ
manager	ħlf	ሓላፊ
director	ħlf	ሓላፊ
head	ħlf	ሓላፊ
monitor	ħlf	ሓላፊ
commander	ħlf	ሓላፊ
privilege	ħlf	ሓላፋ
trans	ħlf	ሓላፍ
sieve	ħħj	ሓሓየ
ship	ħmr	ሓመር
gossip	ħmj	ሓመየ
soil	ħmd	ሓመድ
dirt	ħmd	ሓመድ
thursday	ħms	ሓሙስ
july	ħml	ሓምለ
vegetable	ħml	ሓምሊ
gall	ħmt	ሓሞት
bile	ħmt	ሓሞት
grill	ħrr	ሓረረ
char	ħrr	ሓረረ
plow	ħrs	ሓረሰ
farm	ħrs	ሓረሰ
flare	ħrqʰ	ሓረቐ
initiative	ħrn	ሓረን
knife	ħrd	ሓረደ
trailer	ħrɡ	ሓረግ
phrase	ħrɡ	ሓረግ
pedigree	ħrɡ	ሓረግ
trellis	ħrɡ	ሓረግ
usury	ħrtʼ	ሓረጣ
harem	ħrm	ሓሪም
rhinoceros	ħrʃ	ሓሪሽ
flour	ħrt͡ʃʼ	ሓሪጭ
tiller	ħrs	ሓራሲ
auctioneer	ħrd͡ʒ	ሓራጂ
auction	ħrd͡ʒ	ሓራጅ
uncle	ħrd͡ʒ	ሓራጅ
puddle	ħrt	ሓሬት
shit	ħrʔ	ሓርአ
crap	ħrʔ	ሓርኢ
shit	ħrʔ	ሓርኢ
flour	ħrt͡ʃʼ	ሓርጭ
tablespoon	ħrt͡ʃʼ	ሓርጭ
powder	ħrt͡ʃʼ	ሓርጭ
pig	ħsm	ሓሰማ
hog	ħsm	ሓሰማ
thatch	ħsr	ሓሰር
fodder	ħsr	ሓሰር
hay	ħsr	ሓሰር
mean	ħsb	ሓሰበ
bug	ħsx	ሓሰኻ
lie	ħsw	ሓሰወ
demise	ħsb	ሓሳብ
idea	ħsb	ሓሳብ
image	ħsb	ሓሳብ
thought	ħsb	ሓሳብ
suggestion	ħsb	ሓሳብ
paradox	ħsb	ሓሳብ
notion	ħsb	ሓሳብ
worm	ħsx	ሓሳኻ
informer	ħsw	ሓሳዊ
hollow	ħst	ሓሶት
bug	ħʃr	ሓሸራ
informer	ħʃl	ሓሹል
dope	ħʃʃ	ሓሽሽ
thaw	ħqʰqʰ	ሓቐቐ
crystal	ħqʰqʰ	ሓቒቕ
hug	ħqʰf	ሓቖፈ
hug	ħqʰʷf	ሓቘፈ
folder	ħqʰʷf	ሓቛፊ
import	ħbr	ሓበ'ረ
jail	ħbs	ሓበሰ
pride	ħbn	ሓበን
bulge	ħbtʼ	ሓበጠ
dial	ħbr	ሓባ'ሪ
harbinger	ħbr	ሓባሪ
indicator	ħbr	ሓባሪ
pointer	ħbr	ሓባሪ
index	ħbr	ሓባሪ
informant	ħbr	ሓባሪ
sister	ħbt	ሓብቲ
cache	ħbʔ	ሓብአ
residuum	ħtl	ሓተላ
cap	ħtm	ሓተመ
stop	ħtm	ሓተመ
imprint	ħtm	ሓተመ
stamp	ħtm	ሓተመ
interview	ħtt	ሓተተ
claim	ħtt	ሓተተ
demand	ħtt	ሓተተ
quiz	ħtt	ሓተተ
comment	ħtt	ሓተታ
commentary	ħtt	ሓተታ
publisher	ħtm	ሓታሚ
questioner	ħtt	ሓታቲ
applicant	ħtt	ሓታቲ
commentator	ħtt	ሓታቲ
aunt (mother's side)	ħtn	ሓትነ
aunt (mother's side)	ħtn	ሓትኖ
collar	ħnqʰ	ሓነቐ
throttle	ħnqʰ	ሓነቐ
scalp	ħnt	ሓናት
doctor	ħkm	ሓከመ
cure	ħkm	ሓከመ
doctor	ħkm	ሓኪም
physician	ħkm	ሓኪም
laziness	ħxt	ሓኸተ
scratch	ħxx	ሓኸኸ
shaft	ħxl	ሓኽሊ
handle	ħxl	ሓኽሊ
climb	ħxʷr	ሓዀረ
creeper	ħxʷr	ሓዃሪ
combine	ħws	ሓወሰ
mix	ħws	ሓወሰ
uncle	ħwb	ሓወቦ
draft	ħwl	ሓዋላ
foal	ħwl	ሓውለ
sub	ħws	ሓውሲ
sister	ħwt	ሓውቲ
reservoir	ħwt͡sʼ	ሓውጺ
tank	ħwt͡sʼ	ሓውጺ
heartache	ħzn	ሓዘን
depression	ħzn	ሓዘን
cloud	ħzn	ሓዘን
lion	ħjt	ሓየት
steam	ħjl	ሓይሊ
dint	ħjl	ሓይሊ
power	ħjl	ሓይሊ
potency	ħjl	ሓይሊ
violence	ħjl	ሓይሊ
muscle	ħjl	ሓይሊ
coercion	ħjl	ሓይሊ
strength	ħjl	ሓይሊ
tutelage	ħdr	ሓደራ
leave	ħdɡ	ሓደገ
thunderbolt	ħdɡ	ሓደጋ
hazard	ħdɡ	ሓደጋ
accident	ħdɡ	ሓደጋ
risk	ħdɡ	ሓደጋ
danger	ħdɡ	ሓደጋ
fatality	ħdɡ	ሓደጋ
casualty	ħdɡ	ሓደጋ
strange	ħdʃ	ሓዲሽ
rail	ħdd	ሓዲድ
railway	ħdd	ሓዲድ
railroad	ħdd	ሓዲድ
quandary	ħdɡ	ሓዲግ
household	ħdr	ሓዳር
marriage	ħdr	ሓዳር
sweet	ħdʃ	ሓድሽ
novice	ħdʃ	ሓድሽ
new	ħdʃ	ሓድሽ
legacy	ħdɡ	ሓድጊ
scion	ħdɡ	ሓድጊ
abscess	ħɡl	ሓገል
aid	ħɡz	ሓገዘ
assist	ħɡz	ሓገዘ
service	ħɡz	ሓገዝ
assistance	ħɡz	ሓገዝ
recipient	ħɡz	ሓገዝ
helper	ħɡz	ሓጋዚ
assistant	ħɡz	ሓጋዚ
friend	ħɡz	ሓጋዚ
subsidiary	ħɡz	ሓጋዚ
accessory	ħɡz	ሓጋዚ
collateral	ħɡz	ሓጋዚ
benefit	ħɡz	ሓጋዚ
winter	ħɡj	ሓጋይ
legislator	ħɡɡ	ሓጋጊ
triumph	ħɡs	ሓጎስ
happiness	ħɡʷs	ሓጐስ
satisfaction	ħɡʷs	ሓጐስ
joy	ħɡʷs	ሓጐስ
exhilaration	ħɡʷs	ሓጐስ
forge	ħɡʷd	ሓጐደ
sin	ħtʼʔ	ሓጥእ
tease	ħt͡ʃʼt͡ʃʼ	ሓጨጨ
kid	ħt͡ʃʼt͡ʃʼ	ሓጨጨ
fence	ħt͡sʼr	ሓጸረ
decrease	ħt͡sʼr	ሓጸረ
flush	ħt͡sʼb	ሓጸበ
wash	ħt͡sʼb	ሓጸበ
bath	ħt͡sʼb	ሓጸበ
bracket	ħt͡sʼr	ሓጹር
cordon	ħt͡sʼr	ሓጹር
brief	ħt͡sʼr	ሓጺር
short	ħt͡sʼr	ሓጺር
little	ħt͡sʼr	ሓጺር
iron	ħt͡sʼn	ሓጺን
template	ħt͡sʼn	ሓጺን
reservoir	ħt͡sʼb	ሓጽቢ
sister	ħft	ሓፍቲ
extreme	ħlf	ሕሉ'ፍ
valley	ħlm	ሕሉም
dell	ħlm	ሕሉም
glen	ħlm	ሕሉም
dale	ħlm	ሕሉም
preservation	ħlw	ሕሉው
past	ħlf	ሕሉፍ
vision	ħlm	ሕልሚ
fantasy	ħlm	ሕልሚ
dream	ħlm	ሕልሚ
conscience	ħln	ሕልና
excess	ħlf	ሕልፊ
incapacity	ħmqʰ	ሕመቕ
disability	ħmqʰ	ሕመቕ
coke	ħmt	ሕመት
ill	ħmm	ሕሙም
sick	ħmm	ሕሙም
epidemic	ħmm	ሕማም
illness	ħmm	ሕማም
disease	ħmm	ሕማም
complaint	ħmm	ሕማም
ailment	ħmm	ሕማም
gross	ħmqʰ	ሕማቕ
gossip	ħmt	ሕሜታ
havoc	ħmt	ሕሜት
deprivation	ħrm	ሕራመ
scorch	ħrr	ሕራር
sale	ħrd͡ʒ	ሕራጀ
taboo	ħrm	ሕርሚ
agriculture	ħrʃ	ሕርሻ
husbandry	ħrʃ	ሕርሻ
farm	ħrʃ	ሕርሻ
preference	ħrj	ሕርያ
selection	ħrj	ሕርያ
ramrod	ħsm	ሕሰም
evil	ħsm	ሕሱም
math	ħsb	ሕሳብ
mathematics	ħsb	ሕሳብ
sum	ħsb	ሕሳብ
bill	ħsb	ሕሳብ
account	ħsb	ሕሳብ
solution	ħqqʰ	ሕቃቕ
hug	ħqʰʷf	ሕቝፊ
lap	ħqʰʷf	ሕቝፊ
knob	ħbtʼ	ሕበጥ
bulge	ħbtʼ	ሕበጥ
bump	ħbtʼ	ሕበጥ
prisoner	ħbs	ሕቡስ
occult	ħbʔ	ሕቡእ
cache	ħbʔ	ሕቡእ
tone	ħbr	ሕብሪ
colour	ħbr	ሕብሪ
hydrogen	ħbr	ሕብሪ
hub	ħbj	ሕብያ
imprint	ħtm	ሕታም
publication	ħtm	ሕታም
literature	ħtm	ሕታም
edition	ħtm	ሕታም
impression	ħtm	ሕታም
copy	ħtm	ሕታም
venom	ħnz	ሕንዚ
poison	ħnz	ሕንዚ
cake	ħnz	ሕንዚ
discernment	ħnd	ሕንዳ
gay	ħws	ሕዉስ
mixture	ħws	ሕዋስ
gay	ħws	ሕውስ
mixer	ħws	ሕውስ
innovation	ħds	ሕደሳ
renewal	ħds	ሕደሳ
november	ħdr	ሕዳር
renaissance	ħds	ሕዳሰ
gay	ħɡs	ሕጉስ
content	ħɡs	ሕጉስ
right	ħɡw	ሕጋዊ
legislation	ħɡɡ	ሕጋገ
rule	ħɡɡ	ሕጋግ
pen	ħt͡sʼr	ሕጹር
candidate	ħt͡sʼj	ሕጹይ
nominee	ħt͡sʼj	ሕጹይ
contraction	ħt͡sʼr	ሕጻር
baby	ħt͡sʼn	ሕጻን
infant	ħt͡sʼn	ሕጻን
child	ħt͡sʼn	ሕጻን
train	mhr	መሃረ
mentor	mhr	መሃሪ
manufacture	mhz	መሃዘ
original	mhz	መሃዚ
author	mhz	መሃዚ
composer	mhz	መሃዚ
pay	mhj	መሃያ
salary	mhj	መሃያ
wage	mhj	መሃያ
recall	mls	መለሰ
answer	mls	መለሰ
variety	mls	መለሳ
alternative	mls	መለሳ
reply	mlʃ	መለሸ
sneak	mlqʰʷ	መለቘ
slide	mlqʰʷ	መለቘ
slip	mlqʰʷ	መለቝ
supplement	mlʔ	መለአ
insignia	mlj	መለዮ
badge	mlj	መለዮ
constituent	mlʔ	መላ'ኢ
dictator	mlx	መላኺ
razor	mlt͡sʼ	መላጸ
trigger	mlt͡sʼ	መላጸ
response	mls	መልሲ
reply	mls	መልሲ
answer	mls	መልሲ
replication	mls	መልሲ
glut	mlʔ	መልአ
bag	mlʔ	መልአ
fill	mlʔ	መልአ
bottle	mlʔ	መልአ
surfeit	mlʔ	መልአ
aria	mld	መሎዲ
excuse	mħr	መሓረ
draw	mħw	መሓወ
society	mħz	መሓዙ
companion	mħz	መሓዛ
buddy	mħz	መሓዛ
pal	mħz	መሓዛ
friend	mħz	መሓዛ
baby	mmj	መማዪ
censor	mmj	መማይ
mummy	mmj	መምያ
mum	mmj	መምያ
heater	mmqʰ	መሞቒ
soup	mrqʰ	መረቕ
broth	mrqʰ	መረቕ
gravy	mrqʰ	መረቕ
patio	mrb	መረባ
rust	mrt	መረተ
elect	mrt͡sʼ	መረጸ
pick	mrt͡sʼ	መረጸ
ballot	mrt͡sʼ	መረጸ
vote	mrt͡sʼ	መረጸ
return	mrt͡sʼ	መረጸ
vanguard	mrħ	መሪሕ
director	mrħ	መራሒ
leader	mrħ	መራሒ
electorate	mrt͡sʼ	መራጾ
ballot	mrt͡sʼ	መራጾ
vote	mrt͡sʼ	መራጾ
election	mrt͡sʼ	መራጾ
field	mrt	መሬት
globe	mrt	መሬት
earth	mrt	መሬት
tenure	mrt	መሬት
floor	mrt	መሬት
territory	mrt	መሬት
land	mrt	መሬት
soil	mrt	መሬት
head	mrħ	መርሐ
fly	mrħ	መርሐ
lead	mrħ	መርሐ
usher	mrħ	መርሐ
pilot	mrħ	መርሐ
conduct	mrħ	መርሓ
haven	mrs	መርሳ
march	mrʃ	መርሻ
match	mrʕ	መርዓ
wedding	mrʕ	መርዓ
wedlock	mrʕ	መርዓ
marriage	mrʕ	መርዓ
venom	mrz	መርዚ
poison	mrz	መርዚ
think	msl	መሰለ
title	msl	መሰል
prerogative	msl	መሰል
contemporary	mst	መሰታ
screw	msn	መሰኒ
craze	mstʼ	መሰጠ
thriller	mstʼ	መሳጢ
tableau	mstʼ	መሳጢ
butler	mst	መስተ
beverage	mst	መስተ
drink	mst	መስተ
irrigation	msn	መስኖ
pitchfork	msʔ	መስአ
guess	mʃl	መሸላ
draw	mʃt	መሸተ
stockade	mʃɡ	መሸገ
sale	mʃtʼ	መሸጣ
hairdresser	mʃtʼ	መሻጢ
setting	mqn	መቃን
mount	mqn	መቃን
frame	mqn	መቃን
segment	mqʰl	መቐለ
divide	mqʰl	መቐለ
scissors	mqʰs	መቐስ
scissors	mqʰz	መቐዝ
chain	mqʰħ	መቑሕ
partition	mqʰl	መቓሊ
pedestal	mqʰm	መቖሚ
component	mqʰʷm	መቘሚ
furniture	mbl	መበሊ
hoe	mbr	መባሮ
relay	mbr	መብረ
alternative	mbr	መብረ
privilege	mbt	መብቲ
penis	mtl	መትሎ
nerve	mtn	መትኒ
leader	mtn	መትኒ
motor	mtn	መትኒ
lighthouse	mnr	መናራ
mineral	mnr	መናራ
celibacy	mnn	መናኒ
crevice	mnq	መንቂ
fissure	mnq	መንቂ
crowbar	mnq	መንቂ
interim	mnɡ	መንጎ
bromide	mɲk	መኛካ
nutrition	mʔz	መኣዛ
fragrance	mʔz	መኣዛ
tonic	mʔz	መኣዛ
aroma	mʔz	መኣዛ
mess	mʔd	መኣዲ
dish	mʔd	መኣዲ
fare	mʔd	መኣዲ
meal	mʔd	መኣዲ
hall	mʔt	መእቶ
mire	mkr	መከራ
evil	mkr	መከራ
coupe	mkn	መኪና
auto	mkn	መኪና
van	mkn	መኪና
car	mkn	መኪና
engine	mkn	መኪና
machine	mkn	መኪና
oracle	mkr	መካር
namesake	mkʷs	መኵሲ
herb	mxl	መኸል
hay	mxl	መኸል
defence	mxt	መኸተ
fuse	mxx	መኸኸ
thaw	mxx	መኸኸ
venture	mxr	መኻሪ
locus	mxn	መኻን
site	mxn	መኻን
finance	mwl	መወለ
victor	mwʔ	መዋኢ
preserve	mʕr	መዓረ
honey	mʕr	መዓር
inferno	mʕt	መዓት
jungle	mʕt	መዓት
visitation	mʕt	መዓት
bushel	mʕt	መዓት
buffet	mʕt	መዓት
disaster	mʕt	መዓት
aroma	mʕz	መዓዛ
mentor	mʕd	መዓዲ
appointment	mzz	መዘ'ዘ
balance	mzn	መዘነ
counterpart	mzn	መዘና
peer	mzn	መዘና
institute	mzz	መዘዘ
consequence	mzz	መዘዝ
upshot	mzz	መዘዝ
address	mdr	መደ'ረ
address	mdr	መደረ
schedule	mdb	መደብ
idea	mdb	መደብ
budget	mdb	መደብ
terrace	mdb	መደብ
programme	mdb	መደብ
assignment	mdb	መደብ
hour	mdb	መደብ
speaker	mdr	መዳሪ
aspect	mdj	መዳይ
gong	mdl	መድሎ
chime	mdl	መድሎ
stage	mɡʃ	መገሺ
journey	mɡʃ	መገሻ
feed	mɡb	መገበ
saw	mɡz	መገዘ
junction	mɡd	መገዲ
avenue	mɡd	መገዲ
wayside	mɡd	መገዲ
journey	mɡd	መገዲ
route	mɡd	መገዲ
probability	mɡd	መገዲ
guardian	mɡz	መጉዚ
trustee	mɡz	መጋ'ዚ
food	mɡb	መጋቢ
cache	mɡb	መጋቢ
tonic	mɡb	መጋቢ
saw	mɡz	መጋዝ
pus	mɡl	መግሊ
meal	mɡb	መግቢ
tuck	mɡb	መግቢ
food	mɡb	መግቢ
diet	mɡb	መግቢ
praise	mɡs	መጎስ
argument	mɡt	መጎተ
dialectic	mɡt	መጎት
argument	mɡʷt	መጐተ
pus	mɡʷl	መጓሊ
flock	mɡʷs	መጓሰ
herd	mɡʷs	መጓሰ
map	mtʼn	መጠነ
dose	mtʼn	መጠን
quantum	mtʼn	መጠን
maximum	mtʼn	መጠን
dosage	mtʼn	መጠን
proportion	mtʼn	መጠን
rate	mtʼn	መጠን
magnitude	mtʼn	መጠን
percentage	mtʼn	መጠን
dole	mtʼw	መጠወ
stretch	mtʼtʼ	መጠጠ
giver	mtʼw	መጣዊ
stigma	mtʼɡ	መጣጊ
milk	mt͡sʼj	መጸየ
drink	mt͡sʼj	መጸየ
acid	mt͡sʼt͡sʼ	መጺጽ
tart	mt͡sʼt͡sʼ	መጺጽ
future	mt͡sʼʔ	መጻኢ
parasite	mt͡sʼj	መጻዪ
sucker	mt͡sʼj	መጻዪ
pest	mt͡sʼj	መጻዪ
culture	mfr	መፍረ
team	mfr	መፍረ
temperature	mqʰt	ሙቐት
music	mzq	ሙዚቃ
mink	mnk	ሚንክ
cent	mʔt	ሚእቲ
weight	mzn	ሚዛን
symmetry	mzn	ሚዛን
perspective	mzn	ሚዛን
balance	mzn	ሚዛን
appraisal	mzn	ሚዛን
measurement	mzn	ሚዛን
salary	mhj	ማሃያ
wit	mlt	ማለት
undergarment	mlj	ማልያ
oath	mħl	ማሕላ
spark	mħt	ማሕታ
mammoth	mmz	ማሞዝ
capture	mrx	ማረኸ
take	mrx	ማረኸ
arrest	mrx	ማረኸ
output	mrt	ማሪት
magnet	mrx	ማራኺ
